"pid","label","parent","id"
info:fedora/macrepo:10223,Č. Budějovice,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O49
info:fedora/macrepo:10626,Jihlava (Iglau),info:fedora/macrepo:26857,macrepo:10626
info:fedora/macrepo:10626,Jihlava (Iglau),info:fedora/macrepo:26857,ww2_CentralEurope_250k_O50
info:fedora/macrepo:10627,(Prague) Praha,info:fedora/macrepo:26857,macrepo:10627
info:fedora/macrepo:10627,(Prague) Praha,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O51
info:fedora/macrepo:10628,Gorlitz,info:fedora/macrepo:26857,macrepo:10628
info:fedora/macrepo:10628,Gorlitz,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O52
info:fedora/macrepo:10629,Frankfurt-am-Oder,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O53
info:fedora/macrepo:10629,Frankfurt-am-Oder,info:fedora/macrepo:26857,macrepo:10629
info:fedora/macrepo:10631,Stettin,info:fedora/macrepo:26857,macrepo:10631
info:fedora/macrepo:10631,Stettin,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O54
info:fedora/macrepo:10632,Kolberg,info:fedora/macrepo:26857,ww2_CentralEurope_250k_O55
info:fedora/macrepo:10632,Kolberg,info:fedora/macrepo:26857,macrepo:10632
info:fedora/macrepo:10706,Komárno,info:fedora/macrepo:26857,ww2_CentralEurope_250k_P48
info:fedora/macrepo:10706,Komárno,info:fedora/macrepo:26857,macrepo:10706
info:fedora/macrepo:10720,Wien,info:fedora/macrepo:26857,macrepo:10720
info:fedora/macrepo:10720,Wien,info:fedora/macrepo:26857,ww2_CentralEurope_250k_P49
info:fedora/macrepo:10992,Brno,info:fedora/macrepo:26857,ww2_CentralEurope_250k_P50
info:fedora/macrepo:10992,Brno,info:fedora/macrepo:26857,macrepo:10992
info:fedora/macrepo:11010,Oppeln,info:fedora/macrepo:26857,ww2_CentralEurope_250k_P51
info:fedora/macrepo:11010,Oppeln,info:fedora/macrepo:26857,macrepo:11010
info:fedora/macrepo:11210,Budapest,info:fedora/macrepo:26857,macrepo:11210
info:fedora/macrepo:11210,Budapest,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q48
info:fedora/macrepo:11211,Banska Bystrica,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q49
info:fedora/macrepo:11211,Banska Bystrica,info:fedora/macrepo:26857,macrepo:11211
info:fedora/macrepo:11212,Cieszyn,info:fedora/macrepo:26857,macrepo:11212
info:fedora/macrepo:11212,Cieszyn,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q50
info:fedora/macrepo:11325,Gleiwitz,info:fedora/macrepo:26857,macrepo:11325
info:fedora/macrepo:11325,Gleiwitz,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q51
info:fedora/macrepo:11392,Lódz,info:fedora/macrepo:26857,macrepo:11392
info:fedora/macrepo:11392,Lódz,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q52
info:fedora/macrepo:11555,Płock,info:fedora/macrepo:26857,macrepo:11555
info:fedora/macrepo:11555,Płock,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q53
info:fedora/macrepo:11556,Marienwerder,info:fedora/macrepo:26857,ww2_CentralEurope_250k_Q54
info:fedora/macrepo:11556,Marienwerder,info:fedora/macrepo:26857,macrepo:11556
info:fedora/macrepo:14442,Radom,info:fedora/macrepo:26857,ww2_CentralEurope_250k_R52
info:fedora/macrepo:14442,Radom,info:fedora/macrepo:26857,macrepo:14442
info:fedora/macrepo:15112,Warszawa,info:fedora/macrepo:26857,ww2_CentralEurope_250k_R53
info:fedora/macrepo:15112,Warszawa,info:fedora/macrepo:26857,macrepo:15112
info:fedora/macrepo:15777,Allenstein,info:fedora/macrepo:26857,macrepo:15777
info:fedora/macrepo:15777,Allenstein,info:fedora/macrepo:26857,ww2_CentralEurope_250k_R54
info:fedora/macrepo:15778,Königsberg,info:fedora/macrepo:26857,ww2_CentralEurope_250k_R55
info:fedora/macrepo:15778,Königsberg,info:fedora/macrepo:26857,macrepo:15778
info:fedora/macrepo:17770,Tilsit,info:fedora/macrepo:26857,macrepo:17770
info:fedora/macrepo:17770,Tilsit,info:fedora/macrepo:26857,ww2_CentralEurope_250k_R56
info:fedora/macrepo:18017,Satu Mare,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S48
info:fedora/macrepo:18017,Satu Mare,info:fedora/macrepo:26857,macrepo:18017
info:fedora/macrepo:18806,Dolina,info:fedora/macrepo:26857,macrepo:18806
info:fedora/macrepo:18806,Dolina,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S49
info:fedora/macrepo:18817,Lwów,info:fedora/macrepo:26857,macrepo:18817
info:fedora/macrepo:18817,Lwów,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S50
info:fedora/macrepo:18818,Zamość,info:fedora/macrepo:26857,macrepo:18818
info:fedora/macrepo:18818,Zamość,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S51
info:fedora/macrepo:18819,Stolp,info:fedora/macrepo:18811,macrepo:18819
info:fedora/macrepo:18819,Stolp,info:fedora/macrepo:18811,ww2_Germany_100k_J11_ED1
info:fedora/macrepo:18820,Stolp,info:fedora/macrepo:18811,macrepo:18820
info:fedora/macrepo:18820,Stolp,info:fedora/macrepo:18811,ww2_Germany_100k_J11_ED3
info:fedora/macrepo:18821,Rostock,info:fedora/macrepo:18811,macrepo:18821
info:fedora/macrepo:18821,Rostock,info:fedora/macrepo:18811,ww2_Germany_100k_K6_ED4
info:fedora/macrepo:18822,Greifenberg,info:fedora/macrepo:18811,macrepo:18822
info:fedora/macrepo:18822,Greifenberg,info:fedora/macrepo:18811,ww2_Germany_100k_K9
info:fedora/macrepo:18823,Kolberg,info:fedora/macrepo:18811,ww2_Germany_100k_K10
info:fedora/macrepo:18823,Kolberg,info:fedora/macrepo:18811,macrepo:18823
info:fedora/macrepo:18824,Rummelsburg,info:fedora/macrepo:18811,ww2_Germany_100k_K11
info:fedora/macrepo:18824,Rummelsburg,info:fedora/macrepo:18811,macrepo:18824
info:fedora/macrepo:18825,Emden,info:fedora/macrepo:18811,macrepo:18825
info:fedora/macrepo:18825,Emden,info:fedora/macrepo:18811,ww2_Germany_100k_L1_ED2
info:fedora/macrepo:18826,Lublin,info:fedora/macrepo:26857,macrepo:18826
info:fedora/macrepo:18826,Lublin,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S52
info:fedora/macrepo:18827,Wilhelmshaven,info:fedora/macrepo:18811,macrepo:18827
info:fedora/macrepo:18827,Wilhelmshaven,info:fedora/macrepo:18811,ww2_Germany_100k_L2_ED4
info:fedora/macrepo:18828,Bremerhaven,info:fedora/macrepo:18811,macrepo:18828
info:fedora/macrepo:18828,Bremerhaven,info:fedora/macrepo:18811,ww2_Germany_100k_L3_ED3
info:fedora/macrepo:18829,Brześć nad Bugiem,info:fedora/macrepo:26857,macrepo:18829
info:fedora/macrepo:18829,Brześć nad Bugiem,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S53
info:fedora/macrepo:18830,Hamburg,info:fedora/macrepo:18811,ww2_Germany_100k_L4_ED4
info:fedora/macrepo:18830,Hamburg,info:fedora/macrepo:18811,macrepo:18830
info:fedora/macrepo:18831,Schwerin,info:fedora/macrepo:18811,macrepo:18831
info:fedora/macrepo:18831,Schwerin,info:fedora/macrepo:18811,ww2_Germany_100k_L6_ED3
info:fedora/macrepo:18832,Białystok,info:fedora/macrepo:26857,ww2_CentralEurope_250k_S54
info:fedora/macrepo:18832,Białystok,info:fedora/macrepo:26857,macrepo:18832
info:fedora/macrepo:18833,Neustrelitz,info:fedora/macrepo:18811,ww2_Germany_100k_L7_ED2
info:fedora/macrepo:18833,Neustrelitz,info:fedora/macrepo:18811,macrepo:18833
info:fedora/macrepo:18834,Stettin,info:fedora/macrepo:18811,macrepo:18834
info:fedora/macrepo:18834,Stettin,info:fedora/macrepo:18811,ww2_Germany_100k_L9_ED1
info:fedora/macrepo:18835,Stettin,info:fedora/macrepo:18811,macrepo:18835
info:fedora/macrepo:18835,Stettin,info:fedora/macrepo:18811,ww2_Germany_100k_L9_ED3
info:fedora/macrepo:18836,Labes,info:fedora/macrepo:18811,ww2_Germany_100k_L10
